Name,Type,SKU,Published,Visibility in catalog,Short description,Description,Regular price,Sale price,In stock?,Stock,Categories,Tags,Images
ЙОГА ЧАЙ /АЮРВЕДА/,simple,Код на продукта: КОД 22/865,1,visible,,"Йога чай е класически
сред аюрведическите сортове чай. В нашата смес ще намерите сушени листа от
коприва, в допълнение към класическите, пикантни съставки. Това е съживяваща
топла напитка в студените дни и е приятна за пиене по всяко време. Препоръчваме
класическото приготвяне или приготвяне на черен чай.

Класическо
приготвяне: Запарете 11 грама ""Йога чай"" в около 1 литър вода за
 30 минути, прецежда се и се добавя 1/4 л. прясно мляко. Така приготвеният
чай може да бъде подсладен с мед по желание.

Приготвяне с
черен чай: Запарете 11 гр ""Йога чай"" в около 1 литър вода за 30
минути. Добавете 6 грама черен чай и така приготвената смес да се запари в
продължение на още 3 - 5 минути. Прецежда се и се добавя мляко, по желание се
подслажда на вкус. 
Състав: канела, парченца джинджифил, карамфил, сушени листа от коприва, зърна
от бял пипер, семена от кардамон.Опаковака: насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, ЙОГА ЧАЙ /АЮРВЕДА/",,https://teashop.bg/image/cache/catalog/22865-600x600.gif
"БИЛКОВ ЧАЙ ""СВОБОДНО И ЛЕСНО"" /БИО ЧАЙ/",simple,Код на продукта: КОД 22/809,1,visible,,"Особено
специалният вкус на тази смес от билки в чай с многобройните цветни съставки,
обещава изключително удоволствие за сетивата. Избраните парченца плодове, както
и оригинални подправки, придават свежест и аромат на запарката. Сушените листа
от коприва и диви ягоди правят запарката със силно зелен цвят. Малко копър и
лъскавата кора от портокал допринасят за пролетно-свежия вкус. Лайка предлага
особена пикантна, но лека нотка, докато копъра дава своя сладникав вкус. Тъй
като няма добавени есенции, това творение ще ви очарова със своя натурален,
чист вкус.Състав: копър, цветове от лайка, портокалови кори, парченца ябълки, канела,
джинджифил, цветове от сребърна липа, сушени листа от коприва, листа от диви
ягоди, портокалов цвят, карамфил.



Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""СВОБОДНО И ЛЕСНО"" /БИО ЧАЙ/",,https://teashop.bg/image/cache/catalog/22809-600x600.gif
ПЛОДОВ ЧАЙ КОКОС - ЛАЙМ - АЛОЕ ВЕРА,simple,Код на продукта:  КОД 21/255,1,visible,,"Тропически плодов
и ярко жълт чай! Смес, излъчваща добро настроение, базирана на сладки плодови
парченца екзотичен жълт ананас и модерно, ярко бяло алое вера. Кокосовият
орех не иска да пропусне веселия плодов танц и се присъединява към танцуващата
тълпа ритмично с леко орехови, кремообразни движения. Живите нотки на лайм
допълват идеално сместа с приятна свежа нотка.Състав: кубчета
ананас, алое вера, портокалова кора, печени кокосови стърготини, кокосови
стърготини, шафран.(Поради недостига
на цветове от шафран и произтичащото от това ограничено предлагане,
количеството нашафранът може да
бъде намален и/или заменен с други съставки.)Тренд съставка:
алое вераОпаковака: насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, ПЛОДОВ ЧАЙ КОКОС - ЛАЙМ - АЛОЕ ВЕРА",,https://teashop.bg/image/cache/catalog/21255-600x600.jpg
ХИБИСКУС / КАРКАДЕ- НИГЕРИЯ- ORGANIC,simple,Код на продукта: КОД 22/910,1,visible,,"Чай от хибискус
се приготвя от сушени цветове на хибискус, който е растение с богато съдържание
на антоциани, флавоноиди, киселини и други полезни вещества. Този чай има
множество лечебни и полезни действия: Подобрява кръвообращението, помага за
контролиране на холестерола, при диабет. Подобрява имунната система: Хибискусът
е богат на витамин С, Uспокоява нервната система. Подобрява храносмилането.
Допринася за подмладяване на клетките. Тези са само някои от многото полезни
свойства на чая от хибискус.!!!ВАЖНО !!!
 Не е препоръчителен за бременни и кърмещи жени, като също така може да
има взаимодействия с някои лекарства, затова е добре да се консултирате с
лекар, преди да го използвате редовно.Приготвя се, като
за половин литър вряла вода се предвиждат около 5 гр. сухи листа Хибискус.
Кисне 10-15 мин., прецежда се и се подслажда по желание. Чаят от каркаде е
чудесен на вкус, с красив червен цвят, леко кисел и без никакъв кофеин.Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, ХИБИСКУС / КАРКАДЕ- НИГЕРИЯ- ORGANIC",,https://teashop.bg/image/cache/catalog/22910-600x600.gif
РОЙБОС АКАЙ-ФЪСТЪЧЕНО МАСЛО,simple,Код на продукта: КОД 21/623,1,visible,,"Базирано на
популярното, греховно сладко лакомство с фъстъчено масло и желе от САЩ, това
творение е разработено от сладко фъстъчено масло и богати кремообразни
нотки. Черешката на тортата е суперплодът акай бери. Със своя уникален вкус
той балансира и завършва чудесно чашата чай.Състав:
чай Ройбос, парчета ябълка, парченца крем-карамел, кубчета акай (4%), листа от
сладка къпина, цвят от слез, лиофилизирано кисело мляко гранули
(обезмаслено кисело мляко, захар, малтодекстрин, модифицирано нишесте,
подкиселител: лимонена киселина).


Опаковака: насипен
чай",,,0,,"ЧАЙ, БЕЗ КОФЕИН, РОЙБОС АКАЙ-ФЪСТЪЧЕНО МАСЛО",,https://teashop.bg/image/cache/catalog/21623-600x600.jpg
"БИЛКОВ ЧАЙ ""КЛЕНОВ МЕД - ВАНИЛИЯ""",simple,Код на продукта: КОД 22/840,1,visible,,"Класическите билки и
подправки като копър, градински чай, лайка и анасон получават страхотен
визуален тласък тук от бялата, бухнала елда. Вкусът на тази смес е приятно
сладък и мек. Нотки на сладък мед, карамел и клен също радват небцето ви.Съдържание: копър, парчета ябълка, напукана елда, листа от
къпина, анасон, парченца канела, лайка, листа от градински чай, листа от сладка къпина.Тренд съставка: елдаОпаковка: насипен чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""КЛЕНОВ МЕД - ВАНИЛИЯ""",,https://teashop.bg/image/cache/catalog/21556-600x600.jpg
"БИЛКОВ ЧАЙ ""ФАМИЛИЯ""",simple,Код на продукта: КОД 22/840,1,visible,,"Това наистина е
чай за цялото семейство. Неговите тайни са множеството фини и много меки
съставки, които формират основата на този специалитет. Напитка, създадена за
малки и големи. Приятната сладост се получава от голямо количество парчета
ябълка, обогатен със свежа и ароматна мента. Листата на множество  храсти
и цветни, ярки цветове подобряват качеството на тази смес.Състав: парчета
ябълка, листа от мента, листа от малина, листа от къпина, цвят от слез, листа
от касис, котешка стъпка,
шафран.Без добавени
аромати!
(Поради недостига на цветове от шафран и произтичащото от това ограничено
предлагане, количеството шафран може да бъде намалено и/или заменено с други
съставки)







Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""ФАМИЛИЯ""",,https://teashop.bg/image/cache/catalog/22840-600x600.gif
"БИЛКОВ ЧАЙ ""ГРЕЙПФРУТ""",simple,Код на продукта: КОД 22/338,1,visible,,"Това меко
творение придава плодова сладост с парченцата ябълка и люспите от моркови и
нотка свежест от листата на евкалипт, лимонова трева, мандаринови късчета и нюанс
на хибискус. Парченцата цвекло придават своя цвят на чашата заедно с леко земна
нотка. Изсушените резенчета портокал и грейпфрут са оптично напомняне за свежия
цитрусов аромат на този абсолютно перфектен състав.Състав: ябълка,
морков, хибискус,грейпфрут, цвекло, лимонена трева, портокал, мандарина, листа
евкалипт, листа черна боровинка. 





Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""ГРЕЙПФРУТ""",,https://teashop.bg/image/cache/catalog/22338-600x600.gif
"ЗЕЛЕН РОЙБОС ""КРАЙ МОРЕТО""",simple,Код на продукта: КОД 21/272,1,visible,,"Понякога копнежът
просто ви подтиква ... към морско чувство: изключете се, оставете душата си да
мечтае, вдишайте свежест и се почувствайте красиви! Това е нашият стремеж с
нашето ново билково творение. Нека ви заведем до дюните на Северна Германия,
където зърнастецът грее на слънце. Насладете се на свежестта на мента и се
чувствайте красиви с алое вера и кокос и  с така модерната напоследък
куркума. Този чай е завършен от  мек ройбос и намек за водорасли хлорела.
Има ли нещо по -прекрасно от морския уелнес?Състав: чай
Ройбос, копър, кокос, Алое вера, лайка, мента, черна боровинка, морски
зърнастец, синя метличина, водорасли хорела, синя метличина, куркума./ без добавени
аромати/ Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, ЗЕЛЕН РОЙБОС ""КРАЙ МОРЕТО""",,https://teashop.bg/image/cache/catalog/21272-600x600.jpg
"БИЛКОВ ЧАЙ ""РЕЙКИ"" /АЮРВЕДА/",simple,Код на продукта: КОД 22/117,1,visible,,"Терминът Рейки се
образува от японските думи Rej (космос) и Ki (духовна
енергия). Рейки е древен метод за духовно лечение. Твърди се, че тази
холистична терапия води до изцеление на физически, умствено, емоционално и
духовно ниво. Това чувство за благополучие е в основата на нашето най-ново
творение чай! Нашата добре балансирана смес от билки, плодове и цветове, е
чисто изживяване на природата- този път без никакви добавени аромати.Състав: ябълка,
лимонена трева, манго, шипка, портокал, кора морков, коприва, сладка черница,
царевична коса, слез, невен, роза листа и пъпки, парченца портокал и
морков. Опаковка: насипен
чай.",,,0,,"ЧАЙ, БЕЗ КОФЕИН, БИЛКОВ ЧАЙ ""РЕЙКИ"" /АЮРВЕДА/",,https://teashop.bg/image/cache/catalog/22117-600x600.gif
